ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
AGO,Male,OC2_ISCO08_94,,2024,1.42
AGO,Male,OC2_ISCO08_95,,2024,61.622
AGO,Male,OC2_ISCO08_96,,2024,49.371
AGO,Male,OC2_ISCO08_X,,2024,77.968
AGO,Female,OC2_ISCO08_TOTAL,,2024,6490.371
AGO,Female,OC2_ISCO08_01,,2024,
AGO,Female,OC2_ISCO08_02,,2024,3.126
AGO,Female,OC2_ISCO08_03,,2024,
AGO,Female,OC2_ISCO08_11,,2024,4.662
AGO,Female,OC2_ISCO08_12,,2024,7.023
AGO,Female,OC2_ISCO08_13,,2024,4.949
AGO,Female,OC2_ISCO08_14,,2024,14.48
AGO,Female,OC2_ISCO08_21,,2024,2.442
AGO,Female,OC2_ISCO08_22,,2024,90.737
AGO,Female,OC2_ISCO08_23,,2024,125.437
AGO,Female,OC2_ISCO08_24,,2024,14.051
AGO,Female,OC2_ISCO08_25,,2024,
AGO,Female,OC2_ISCO08_26,,2024,11.718
AGO,Female,OC2_ISCO08_31,,2024,2.624
AGO,Female,OC2_ISCO08_32,,2024,11.585
AGO,Female,OC2_ISCO08_33,,2024,53.477
AGO,Female,OC2_ISCO08_34,,2024,20.61
AGO,Female,OC2_ISCO08_35,,2024,2.688
AGO,Female,OC2_ISCO08_41,,2024,7.492
AGO,Female,OC2_ISCO08_42,,2024,9.627
AGO,Female,OC2_ISCO08_43,,2024,0.931
AGO,Female,OC2_ISCO08_44,,2024,6.064
AGO,Female,OC2_ISCO08_51,,2024,283.325
AGO,Female,OC2_ISCO08_52,,2024,1886.742
AGO,Female,OC2_ISCO08_53,,2024,48.823
AGO,Female,OC2_ISCO08_54,,2024,31.253
AGO,Female,OC2_ISCO08_61,,2024,362.046
AGO,Female,OC2_ISCO08_62,,2024,7.495
AGO,Female,OC2_ISCO08_63,,2024,2837.504
AGO,Female,OC2_ISCO08_71,,2024,2.204
AGO,Female,OC2_ISCO08_72,,2024,2.768
AGO,Female,OC2_ISCO08_73,,2024,4.149
AGO,Female,OC2_ISCO08_74,,2024,
AGO,Female,OC2_ISCO08_75,,2024,38.656
AGO,Female,OC2_ISCO08_81,,2024,6.128
AGO,Female,OC2_ISCO08_82,,2024,0.0
AGO,Female,OC2_ISCO08_83,,2024,1.651
AGO,Female,OC2_ISCO08_91,,2024,279.996
AGO,Female,OC2_ISCO08_92,,2024,22.458
AGO,Female,OC2_ISCO08_93,,2024,3.743
AGO,Female,OC2_ISCO08_94,,2024,11.378
AGO,Female,OC2_ISCO08_95,,2024,112.485
AGO,Female,OC2_ISCO08_96,,2024,26.46
AGO,Female,OC2_ISCO08_X,,2024,123.841
AGO,Total,OC2_ISCO08_TOTAL,,2023,12126.404
AGO,Total,OC2_ISCO08_01,,2023,36.029
AGO,Total,OC2_ISCO08_02,,2023,69.688
